Checkpoint 1: 1200; Time: 336.03071212768555 s
Checkpoint 2: 2400; Time: 627.8703410625458 s
Checkpoint 3: 3600; Time: 901.7739217281342 s
Checkpoint 4: 4800; Time: 1220.3457787036896 s
Checkpoint 5: 6000; Time: 1539.9943599700928 s
Checkpoint 6: 7200; Time: 1780.7997205257416 s
Checkpoint 7: 8400; Time: 2020.6912949085236 s
Checkpoint 8: 9600; Time: 2260.253721475601 s
Checkpoint 9: 10800; Time: 2499.9863324165344 s
Checkpoint 10: 12000; Time: 2739.4258069992065 s
Checkpoint 11: 13200; Time: 2978.717912912369 s
Checkpoint 12: 14400; Time: 3217.965052843094 s
Checkpoint 13: 15600; Time: 3456.7270498275757 s
Checkpoint 14: 16800; Time: 3696.9300282001495 s
Checkpoint 15: 18000; Time: 3936.570968389511 s
Checkpoint 16: 19200; Time: 4176.131874799728 s
Checkpoint 17: 20400; Time: 4415.706899404526 s
Checkpoint 18: 21600; Time: 4655.577801704407 s
Checkpoint 19: 22800; Time: 4896.016999006271 s
Checkpoint 20: 24000; Time: 5136.5666847229 s
