Checkpoint 1: 1200; Time: 344.6592290401459 s
Checkpoint 2: 2400; Time: 668.5011823177338 s
Checkpoint 3: 3600; Time: 908.8477020263672 s
Checkpoint 4: 4800; Time: 1147.6256701946259 s
Checkpoint 5: 6000; Time: 1386.7440776824951 s
Checkpoint 6: 7200; Time: 1625.4546287059784 s
Checkpoint 7: 8400; Time: 1864.8810381889343 s
Checkpoint 8: 9600; Time: 2104.32542181015 s
Checkpoint 9: 10800; Time: 2343.362821340561 s
Checkpoint 10: 12000; Time: 2582.837427377701 s
Checkpoint 11: 13200; Time: 2822.2675647735596 s
Checkpoint 12: 14400; Time: 3061.2113633155823 s
Checkpoint 13: 15600; Time: 3299.805109500885 s
Checkpoint 14: 16800; Time: 3538.553243637085 s
Checkpoint 15: 18000; Time: 3778.3120477199554 s
Checkpoint 16: 19200; Time: 4016.8573713302612 s
Checkpoint 17: 20400; Time: 4255.743990898132 s
Checkpoint 18: 21600; Time: 4494.5900774002075 s
Checkpoint 19: 22800; Time: 4733.1774842739105 s
Checkpoint 20: 24000; Time: 4971.978478431702 s
